Val,EpisodeID,SceneID,TxID,RxID,VehicleName,x,y,z,angles,rays,LOS
V,0,0,-1,0,flow10.0,841.10703466595,364.03581434,1.59,142.16324814742222,25,0
V,0,1,-1,0,flow10.0,840.52961193775,364.48430284865003,1.59,142.16324814742217,25,0
V,1,0,-1,0,flow7.0,754.3732016864,593.2912153591,4.3,94.00304136853458,25,1
V,1,1,-1,0,flow7.0,753.91278929065,599.87040063,4.3,94.00304136853464,25,1
V,2,0,-1,0,flow31.0,667.5277671726001,451.91982223444995,3.2,-7.872066432388337,25,0
V,2,1,-1,0,flow31.0,668.0055204995999,451.8537658712,3.2,-7.872066432388436,25,0
V,3,0,-1,0,flow30.3,725.7404329159,432.85393890445,4.3,-28.447690269690597,25,0
V,3,1,-1,0,flow30.3,731.5595833074001,429.70127358025,4.3,-28.44769026969057,25,0
V,4,0,-1,0,flow26.5,805.0807855804501,383.92297574325005,3.2,-37.83675185257789,25,0
V,4,1,-1,0,flow26.5,810.3166545148,379.85623757170004,3.2,-37.836751852577805,25,0
